airline,safety_ranking_per_incident,safety_ranking_per_fatality,avail_seat_km_per_week,incidents_85_99,fatal_accidents_85_99,fatalities_85_99,incidents_00_14,fatal_accidents_00_14,fatalities_00_14,avail_seat_mile_per_year,total_incidents_per_billion_miles
AerLingus,49,1,320906734,2,0,0,0,0,0,10368911187.040329,0.19288428301975385
Aeroflot,16,3,1197672318,76,14,128,6,1,88,38698339987.21486,2.1189539403381747
AerolineasArgentinas,55,5,385803648,6,0,0,1,0,0,12465814325.193216,0.5615357182050761
Aeromexico,42,13,596871813,3,1,64,5,0,0,19285699436.412395,0.41481513421632277
AirCanada,29,15,1865253802,2,0,0,2,0,0,60268760250.53219,0.06636937583264789
AirFrance,24,16,3004002661,14,4,79,6,2,337,97063207148.348,0.20605129984531015
AirIndia,27,24,869253552,2,1,329,4,1,158,28086705340.709183,0.2136242014635669
AirNewZealand,5,27,710174817,3,0,0,5,1,7,22946665883.133564,0.3486345267234133
AlaskaAirlines,34,38,965346773,5,0,0,5,1,88,31191601463.660717,0.32059912062746015
Alitalia,44,44,698012498,7,2,50,4,0,0,22553685642.527416,0.48772516273418043
AllNipponAirways,33,49,1841234177,3,1,1,7,0,0,59492655133.42669,0.16808797619881477
American,38,55,5228357340,21,5,101,17,3,416,168934980693.08328,0.2249386115540875
AustrianAirlines,15,11,358239823,1,0,0,1,0,0,11575191526.981316,0.17278331814273945
Avianca,31,34,396922563,5,3,323,0,0,0,12825080834.481396,0.3898610905238681
BritishAirways,43,31,3179760952,4,0,0,6,0,0,102742184610.26999,0.09733100418254773
CathayPacific,52,8,2582459303,0,0,0,2,0,0,83442596617.34949,0.02396857337961286
ChinaAirlines,18,22,813216487,12,6,535,2,1,225,26276075370.671204,0.5328040737767149
Condor,11,33,417982610,2,1,16,0,0,0,13505558162.63212,0.148087178331312
COPA,19,47,550491507,3,1,47,0,0,0,17787091826.197044,0.16866163560334227
Delta_Northwest,13,42,6525658894,24,12,407,24,2,51,210852470016.43103,0.22764732135391938
Egyptair,35,18,557699891,8,3,282,4,1,14,18020004026.469173,0.6659265992774424
ElAl,50,45,335448023,1,1,4,1,0,0,10838759021.975716,0.18452296947695004
EthiopianAirlines,22,52,488560643,25,5,167,5,2,92,15786025595.680756,1.9004150106979476
Finnair,1,20,506464950,1,0,0,0,0,0,16364536887.2154,0.06110774823052896
GarudaIndonesia,46,10,613356665,10,3,260,4,2,22,19818346302.96118,0.7064161553472889
GulfAir,6,51,301379762,1,0,0,3,1,143,9737969492.872503,0.41076325031477107
HawaiianAirlines,7,19,493877795,0,0,0,1,0,0,15957829646.561138,0.06266516325737696
Iberia,12,9,1173203126,4,1,148,5,0,0,37907708779.498795,0.2374187280077923
JapanAirlines,20,12,1574217531,3,1,520,0,0,0,50865002315.66005,0.05897964933573403
KenyaAirways,32,53,277414794,2,0,0,2,2,283,8963630414.053848,0.4462477607011252
KLM,28,4,1874561773,7,1,3,1,0,0,60569512819.44072,0.13207964911169776
KoreanAir,51,28,1734522605,12,5,425,1,0,0,56044666370.75566,0.2319578443767619
LANAirlines,48,6,1001965891,3,2,21,0,0,0,32374812478.141174,0.09266462939479948
Lufthansa,9,40,3426529504,6,1,2,3,0,0,110715595350.35918,0.081289361011416
MalaysiaAirlines,53,39,1039171244,3,1,34,3,2,537,33576965502.88725,0.17869393229244054
PakistanInternational,8,2,348563137,8,3,234,10,2,46,11262525300.043005,1.598220605107098
PhilippineAirlines,14,50,413007158,7,4,74,2,1,1,13344794880.228136,0.6744202575558808
Qantas,54,37,1917428984,1,0,0,5,0,0,61954607791.28732,0.09684509698198115
RoyalAirMaroc,26,48,295705339,5,3,51,3,0,0,9554621554.387987,0.8372911428031219
SAS,4,56,682971852,5,0,0,6,1,110,22067702937.752785,0.49846601757343567
SaudiArabian,30,43,859673901,7,2,313,11,0,0,27777174439.990093,0.6480140749927197
SingaporeAirlines,47,32,2376857805,2,2,6,2,1,83,76799346579.83406,0.05208377646657946
SouthAfrican,10,54,651502442,2,1,159,1,0,0,21050885642.175064,0.14251181879086852
SouthwestAirlines,40,46,3276525770,1,0,0,8,0,0,105868780899.99484,0.0850108967306056
SriLankan_AirLanka,17,29,325582976,2,1,14,4,0,0,10520006607.764992,0.5703418471246593
SWISS,3,41,792601299,2,1,229,3,0,0,25609972011.568306,0.19523644921799987
TACA,45,25,259373346,3,1,3,1,1,3,8380687919.623033,0.47728778814583134
TAM,41,26,1509195646,8,3,98,7,2,188,48764061203.03463,0.3076035840730425
TAP-AirPortugal,21,23,619130754,0,0,0,0,0,0,20004914578.674168,0.0
ThaiAirways,37,21,1702802250,8,4,308,2,1,1,55019740718.007,0.18175294666062372
TurkishAirlines,25,35,1946098294,8,3,64,8,2,84,62880950238.13585,0.25444908099259184
United_Continental,56,7,7139291291,19,8,319,14,2,109,230679725576.55795,0.1430554849048829
USAirways_AmericaWest,39,36,2455687887,16,7,224,11,2,23,79346448377.72,0.34027988085508865
VietnamAirlines,36,14,625084918,7,3,171,1,0,0,20197301310.294056,0.3960925213329899
VirginAtlantic,23,17,1005248585,1,0,0,0,0,0,32480880562.52182,0.03078734266736349
XiamenAirlines,2,30,430462962,9,1,82,2,0,0,13908814460.366903,0.7908653919882688
