date,id,content,username,like_count,retweet_count
2023-01-25 04:16:30+00:00,1618100475923947520,"No. MMDCCLXXXIX
#colorway #shapeways #drawing #processing #python #creativecoding #generativeart #jimbo https://t.co/IHzVubHDtM",shapewaze,0,0
2023-01-25 04:16:27+00:00,1618100462812598272,"No. MMDCCLXXXVIII
#colorway #shapeways #drawing #processing #python #creativecoding #generativeart #jimbo https://t.co/lvzbwlUTfX",shapewaze,0,0
2023-01-25 04:16:24+00:00,1618100447184666624,"No. MMCMLXVII
#grayway #shapeways #drawing #processing #python #creativecoding #generativeart #jimbo https://t.co/pNLjG2DXqG",shapewaze,0,0
2023-01-25 04:16:20+00:00,1618100432181792770,"""Easy steps to build a LAMP stack in Linux!

#LinuxTeck #linux #unix #scripting #Programming #softwaredevelopment #sysadmins #coding #php #python #rhel #centos #ubuntu #lamp

https://t.co/aphlhyJMQn",linuxteck,1,1
2023-01-25 04:16:03+00:00,1618100359003529218,"Programming is 10% science, 20% ingenuity, and 70% getting the ingenuity to work with the science.

#programming #programmingjoke #programminghumor #Python #javascript #Java",PadmashreeJha,2,1
2023-01-25 04:15:56+00:00,1618100333359828995,"日本の今のトレンド第1位は'#櫻坂46桜月'だ！，関連ワードを可視化しました！ #python, #wordcloud https://t.co/UeokcdBohE",trendsbot4,0,0
2023-01-25 04:15:35+00:00,1618100243119177729,Calling ffmpeg kills script in background only - Visit https://t.co/VWDY4G7Xsz for the solution. #python #ffmpeg #subprocess #programming #code,Programmatoris,0,1
2023-01-25 04:14:18+00:00,1618099922192203776,"pythonの勉強進めてるけど、実践の機会設けなきゃ覚えたこと忘れそうだな〜
忘れないうちに開発を進めた方がいいかもしれませんね
#プログラミング初心者と繋がりたい 
#プログラミング初心者 
#python #pythonprogramming",peto_recruit,0,1
2023-01-25 04:14:08+00:00,1618099878370119680,Tkinterのスクロールバー(ttk.Scrollbar)が上下しない場合の対処法 https://t.co/YGmAbjVBzU #Python #Tkinter,kamikudakun,0,0
2023-01-25 04:14:04+00:00,1618099861420920834,"【2024年卒必見！IT企業インターン実施中！】
現役データサイエンティストが直接講師となり業務体験を行います！需要UP必須の業界なので要チェック！https://t.co/BRDyX9SADv #インターン #24卒と繋がりたい #機械学習  #24卒就活 #Python #SQL #新卒採用 #BIツール #専攻不問 #就活生と繋がりたい",DALABO0426,0,0
